decile,applicant_count,observed_default_rate,mean_predicted_risk,min_score,max_score,calibration_error
1,6151,0.2869452121606243,0.7983198800241298,0.7118784680479625,0.984412983140011,0.5113746678635055
2,6150,0.15333333333333332,0.6523437785597342,0.5976294640892624,0.7118743447522532,0.4990104452264009
3,6150,0.10357723577235772,0.550340311427576,0.5066532202670615,0.597607804643447,0.4467630756552183
4,6151,0.07608518940009755,0.46754611961175074,0.43052363499208035,0.5066276937811517,0.3914609302116532
5,6150,0.06097560975609756,0.3959956947371636,0.36317974974478984,0.4305052860260476,0.33502008498106606
6,6150,0.03934959349593496,0.33212645554536674,0.3021174234249229,0.36316060481577833,0.29277686204943176
7,6151,0.03381563973337669,0.2735662620827613,0.24509091182417256,0.30211726677188844,0.2397506223493846
8,6150,0.02747967479674797,0.21743581584020535,0.189798786768978,0.24508747917244256,0.18995614104345737
9,6150,0.016585365853658537,0.16112877489866267,0.1309232794484708,0.18978574099318857,0.14454340904500412
10,6150,0.009105691056910569,0.08956947733902663,0.0071916852347105415,0.13091891132973169,0.08046378628211606
