threshold,FN,FP,total_cost_A,total_cost_B,f1_default
0.05,2,56043,56063.0,168135.0,0.15046005062830636
0.06,5,55737,55787.0,167226.0,0.1510767262648107
0.07,6,55308,55368.0,165942.0,0.1520419426048565
0.08,8,54822,54902.0,164490.0,0.15312615840850116
0.09,12,54263,54383.0,162825.0,0.15434474377152116
0.1,19,53594,53784.0,160839.0,0.15576726242028185
0.11,29,52886,53176.0,158745.0,0.15722999984073135
0.12,39,52138,52528.0,156531.0,0.1588289348530526
0.13,49,51350,51840.0,154197.0,0.16057225914977707
0.14,57,50449,51019.0,151518.0,0.16272670004310202
0.15,78,49549,50329.0,148881.0,0.16454268446659148
0.16,90,48585,49485.0,146025.0,0.1668806161745828
0.17,115,47571,48721.0,143058.0,0.16903077405639005
0.18,139,46503,47893.0,139926.0,0.17145699364053008
0.19,153,45469,46999.0,136866.0,0.17420265720595157
0.2,174,44361,46101.0,133605.0,0.17706081268362991
0.21,197,43224,45194.0,130263.0,0.18007062333591403
0.22,228,42159,44439.0,127161.0,0.18268062706079713
0.23,249,41147,43637.0,124188.0,0.18556701030927836
0.24,293,40068,42998.0,121083.0,0.18798913590182073
0.25,319,38944,42134.0,117789.0,0.19137061064771907
0.26,342,37858,41278.0,114600.0,0.1948741727437508
0.27,370,36804,40504.0,111522.0,0.1982141316538694
0.28,407,35697,39767.0,108312.0,0.2015922158337019
0.29,444,34638,39078.0,105246.0,0.20492249116127279
0.3,486,33654,38514.0,102420.0,0.20785187247668105
0.31,520,32588,37788.0,99324.0,0.21167674651173865
0.32,558,31549,37129.0,96321.0,0.21539063072749934
0.33,596,30539,36499.0,93405.0,0.2191457878765079
0.34,644,29563,36003.0,90621.0,0.22245102834049782
0.35,683,28636,35466.0,87957.0,0.22606446163186653
0.36,734,27719,35059.0,85359.0,0.2292293105783557
0.37,789,26777,34667.0,82698.0,0.23252965087142938
0.38,847,25872,34342.0,80157.0,0.23561722214275496
0.39,903,25034,34064.0,77811.0,0.2385132556296057
0.4,967,24083,33753.0,75150.0,0.24196574471948193
0.41,1022,23189,33409.0,72633.0,0.24569274387014362
0.42,1069,22302,32992.0,70113.0,0.25004011167089174
0.43,1116,21419,32579.0,67605.0,0.254622432441372
0.44,1168,20633,32313.0,65403.0,0.25834325565572375
0.45,1235,19848,32198.0,63249.0,0.2613600532529867
0.46,1305,19049,32099.0,61062.0,0.264508202645082
0.47,1364,18312,31952.0,59028.0,0.2679514844854528
0.48,1423,17528,31758.0,56853.0,0.2720952563856347
0.49,1480,16784,31584.0,54792.0,0.2762146310533407
0.5,1550,16057,31557.0,52821.0,0.27949420960019644
0.51,1621,15383,31593.0,51012.0,0.28228938038156337
0.52,1689,14678,31568.0,49101.0,0.28587634713556437
0.53,1775,13989,31739.0,47292.0,0.288114161849711
0.54,1860,13340,31940.0,45600.0,0.2900513778608127
0.55,1913,12664,31794.0,43731.0,0.29515013780764954
0.56,1987,12021,31891.0,42024.0,0.29833700661190143
0.57,2071,11407,32117.0,40434.0,0.3004256202636769
0.58,2139,10821,32211.0,38880.0,0.3036750483558994
0.59,2211,10237,32347.0,37344.0,0.3067498329249276
0.6,2281,9654,32464.0,35805.0,0.3102352193261284
0.61,2360,9083,32683.0,34329.0,0.3128565423647391
0.62,2434,8535,32875.0,32907.0,0.315763208782983
0.63,2512,7997,33117.0,31527.0,0.3182614336685047
0.64,2601,7488,33498.0,30267.0,0.31909293379226567
0.65,2683,6983,33813.0,28998.0,0.32073085031623333
0.66,2762,6498,34118.0,27780.0,0.32240597102297675
0.67,2849,6059,34549.0,26724.0,0.32207001522070017
0.68,2943,5636,35066.0,25737.0,0.3203675829834429
0.69,3018,5197,35377.0,24645.0,0.3215789908332645
0.7,3098,4775,35755.0,23619.0,0.32170242095287327
0.71,3179,4394,36184.0,22719.0,0.3205024674742037
0.72,3266,4014,36674.0,21840.0,0.3182243865892489
0.73,3359,3644,37234.0,21009.0,0.31443954968184046
0.74,3462,3305,37925.0,20301.0,0.3075821139875166
0.75,3566,3009,38669.0,19725.0,0.29851701696361893
0.76,3660,2708,39308.0,19104.0,0.29071062597460456
0.77,3745,2399,39849.0,18432.0,0.2842497670083877
0.78,3829,2134,40424.0,17889.0,0.2758955676988464
0.79,3917,1861,41031.0,17334.0,0.2661925323850648
0.8,4009,1613,41703.0,16866.0,0.2537828510751261
0.81,4116,1385,42545.0,16503.0,0.235866092512849
0.82,4203,1165,43195.0,16104.0,0.2211259431224608
0.83,4282,974,43794.0,15768.0,0.20628209000302022
0.84,4369,803,44493.0,15516.0,0.18730358265241986
0.85,4449,660,45150.0,15327.0,0.16805080605764533
0.86,4520,517,45717.0,15111.0,0.15016028344862495
0.87,4584,403,46243.0,14961.0,0.13254479039833014
0.88,4660,302,46902.0,14886.0,0.1094759511844939
0.89,4725,221,47471.0,14838.0,0.08846295613711758
0.9,4783,154,47984.0,14811.0,0.06866628937936238
0.91,4837,98,48468.0,14805.0,0.04931612406087459
0.92,4889,58,48948.0,14841.0,0.02980976662090606
0.93,4912,27,49147.0,14817.0,0.02101090188305253
0.94,4936,14,49374.0,14850.0,0.0115814696485623
0.95,4954,6,49546.0,14880.0,0.004415897230028101
