feature,psi,psi_interpretation,train_missing_rate,holdout_missing_rate,missing_rate_delta,train_mean,holdout_mean,mean_delta,train_median,holdout_median,median_delta
EXT_SOURCE_1,0.0007337640344083775,low shift,0.5633759877727553,0.5655496479846511,0.0021736602118958004,0.5016504029516343,0.5040569794124704,0.002406576460836085,0.5054455334342673,0.5085983967702477,0.003152863335980305
EXT_SOURCE_3,0.0003403135538028596,low shift,0.19838785730545347,0.1977139326536917,-0.0006739246517617759,0.5108710938404455,0.5107802178308666,-9.087600957891073e-05,0.5352762504724826,0.5370699579791587,0.0017937075066760677
AMT_ANNUITY,0.0002492551254811955,low shift,4.06490845826152e-05,3.251873892330455e-05,-8.130345659310648e-06,27108.089708046406,27110.51066649323,2.420958446822624,24903.0,24939.0,36.0
AMT_INCOME_TOTAL,0.00022558024852498238,low shift,0.0,0.0,0.0,168853.18069898136,168576.87728305938,-276.3034159219824,147600.0,146250.0,-1350.0
EXT_SOURCE_MEAN,0.00016782258318892202,low shift,0.0005650222756983513,0.0005365591922345251,-2.8463083463826184e-05,0.5091191956456161,0.5097793043347246,0.0006601086891084851,0.5242410153205751,0.5256616373886716,0.0014206220680964554
BUREAU_CLOSED_LOAN_COUNT,0.00013986692509133713,low shift,0.0,0.0,0.0,2.9804721797665117,3.000065037477847,0.01959285771133512,2.0,2.0,0.0
ANNUITY_INCOME_RATIO,0.0001254266641907912,low shift,4.06490845826152e-05,3.251873892330455e-05,-8.130345659310648e-06,0.18091071905094389,0.1810071765934531,9.645754250922622e-05,0.16283333333333333,0.16278,-5.333333333332191e-05
EXT_SOURCE_2,0.00012407285347009085,low shift,0.002158466391336867,0.002097458660553144,-6.100773078372311e-05,0.5143034457853141,0.5147495598899018,0.0004461141045877248,0.5659130796679341,0.5661547990403174,0.00024171937238326446
CREDIT_INCOME_RATIO,0.0001184741488796386,low shift,0.0,0.0,0.0,3.959395931453986,3.9502675832361285,-0.009128348217857685,3.268947619047619,3.25,-0.018947619047619213
BUREAU_AVG_DAYS_CREDIT,0.00011779639156707914,low shift,0.0,0.0,0.0,-928.1225653085141,-927.5578416030172,0.564723705496931,-927.1833333333334,-929.0,-1.816666666666606
AMT_CREDIT,0.00010935568913455672,low shift,0.0,0.0,0.0,599338.2493679067,597777.0213648115,-1561.2280030952534,514777.5,512064.0,-2713.5
BUREAU_ACTIVE_LOAN_COUNT,0.00010700875461739455,low shift,0.0,0.0,0.0,1.7622597639101167,1.7623367965790286,7.703266891190275e-05,1.0,1.0,0.0
BUREAU_LOAN_COUNT,0.00010377545422793748,low shift,0.0,0.0,0.0,4.76122321225326,4.780677365331773,0.01945415307851306,4.0,4.0,0.0
BUREAU_AVG_DAYS_CREDIT_ENDDATE,9.539312474647629e-05,low shift,0.0,0.0,0.0,554.7198279703282,549.7940325664615,-4.925795403866687,0.0,0.0,0.0
BUREAU_PROLONGED_LOAN_COUNT,0.0,low shift,0.0,0.0,0.0,0.02872670807453416,0.028502674666276442,-0.00022403340825771778,0.0,0.0,0.0
