attribute,group,n,roc_auc,average_precision,false_positive_rate,false_negative_rate,predicted_default_rate,actual_default_rate,false_positives,false_negatives,true_positives,true_negatives,equalized_odds_gap,operating_threshold,threshold_policy,cost_minimizing_threshold,f1_optimal_threshold,no_gender_auc,auc_degradation_without_gender
CODE_GENDER,F,40561,0.7678919618163141,0.23631415524731228,0.08991385023194168,0.6198871650211566,0.11020438352111635,0.06991938068588052,3392,1758,1078,34333,0.2346818841408822,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
CODE_GENDER,M,20940,0.7745553223695429,0.30850021797843924,0.1654882781351337,0.4607797087834664,0.20348615090735434,0.10167144221585482,3113,981,1148,15698,0.2346818841408822,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
NAME_EDUCATION_TYPE,Academic degree,40,0.8205128205128205,0.125,0.02564102564102564,1.0,0.025,0.025,1,1,0,38,0.6323279447397925,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
NAME_EDUCATION_TYPE,Higher education,15061,0.7733773811293604,0.1862741729175989,0.05525984031376944,0.7126436781609196,0.06732620675917934,0.05198857977557931,789,558,225,13489,0.6323279447397925,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
NAME_EDUCATION_TYPE,Incomplete higher,1988,0.7688360750973154,0.22911227375207827,0.127799016930639,0.5222929936305732,0.15543259557344064,0.0789738430583501,234,82,75,1597,0.6323279447397925,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
NAME_EDUCATION_TYPE,Lower secondary,791,0.7469125184904881,0.323209593558613,0.15796897038081806,0.5,0.1934260429835651,0.10366624525916561,112,41,41,597,0.6323279447397925,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
NAME_EDUCATION_TYPE,Secondary / secondary special,43623,0.7684157743493963,0.28395732182116673,0.13532925077493008,0.5218163368848301,0.16631134951745638,0.09036517433463999,5370,2057,1885,34311,0.6323279447397925,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Advertising,98,0.806159420289855,0.26932870370370365,0.06521739130434782,0.5,0.09183673469387756,0.061224489795918366,6,3,3,86,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Agriculture,479,0.6962904911180773,0.28788378468402065,0.15632183908045977,0.5227272727272727,0.18580375782881003,0.0918580375782881,68,23,21,367,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Bank,507,0.7271047227926077,0.15583308616884178,0.06981519507186858,0.75,0.07692307692307693,0.03944773175542406,34,15,5,453,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
