threshold,recall,precision,f1,false_positives,false_negatives,business_label
0.1,0.9947633434038268,0.08526395746297,0.15706539886470242,52987,26,Very aggressive screening
0.15,0.9838872104733132,0.09136305827784844,0.16720004107268152,48583,80,Very aggressive screening
0.2,0.9627391742195368,0.09942590897745236,0.18023792914914877,43296,185,Very aggressive screening
0.25,0.9317220543806647,0.10881121512913393,0.19486509825396492,37888,339,Very aggressive screening
0.3,0.8938569989929507,0.1194970246910256,0.21081132433973018,32701,527,Broad manual review queue
0.35,0.854380664652568,0.13260808402888494,0.22958272446825784,27747,723,Broad manual review queue
0.4,0.8012084592145015,0.14590133871263525,0.24685076016134036,23287,987,Broad manual review queue
0.45,0.7462235649546828,0.16178332823894154,0.26591545252278764,19196,1260,Broad manual review queue
0.5,0.6809667673716012,0.17830397637380024,0.282609604212814,15581,1584,Broad manual review queue
0.55,0.6153071500503524,0.19900983649273662,0.3007481787753495,12296,1910,Broad manual review queue
0.6,0.5395770392749245,0.2206391039367485,0.31320512071082013,9463,2286,Balanced risk screening
0.65,0.4634441087613293,0.2482200647249191,0.3232876712328767,6969,2664,Balanced risk screening
0.7,0.37865055387714,0.279387724773369,0.32153240978279457,4849,3085,Balanced risk screening
0.75,0.29385699899295065,0.32400621807683766,0.3081960287283481,3044,3506,Balanced risk screening
0.8,0.20785498489425983,0.37899375688578774,0.2684703433922997,1691,3933,Balanced risk screening
0.85,0.11822759315206445,0.44402420574886536,0.18673453157308734,735,4378,Balanced risk screening
0.9,0.04451158106747231,0.5261904761904762,0.08207985143918292,199,4744,Balanced risk screening
