threshold,recall,precision,f1,false_positives,false_negatives,business_label
0.1,0.9961732124874119,0.08448923812777588,0.15576726242028185,53594,19,Very aggressive screening
0.15,0.9842900302114803,0.08977514879858917,0.16454268446659148,49549,78,Very aggressive screening
0.2,0.9649546827794562,0.09747314453125,0.17706081268362991,44361,174,Very aggressive screening
0.25,0.9357502517623364,0.10658407891718284,0.19137061064771907,38944,319,Very aggressive screening
0.3,0.9021148036253777,0.11745732043112266,0.20785187247668105,33654,486,Broad manual review queue
0.35,0.8624370594159114,0.1300808068533933,0.22606446163186653,28636,683,Broad manual review queue
0.4,0.8052366565961732,0.14237384708521778,0.24196574471948193,24083,967,Broad manual review queue
0.45,0.7512588116817724,0.1581983204682331,0.2613600532529867,19848,1235,Broad manual review queue
0.5,0.6878147029204431,0.17538003286770748,0.27949420960019644,16057,1550,Broad manual review queue
0.55,0.6147029204431017,0.19419699669127005,0.29515013780764954,12664,1913,Broad manual review queue
0.6,0.5405840886203424,0.2175393094504782,0.3102352193261284,9654,2281,Balanced risk screening
0.65,0.45961732124874116,0.24630329195898543,0.32073085031623333,6983,2683,Balanced risk screening
0.7,0.37603222557905336,0.28109003312255343,0.32170242095287327,4775,3098,Balanced risk screening
0.75,0.28177240684793553,0.3173774954627949,0.29851701696361893,3009,3566,Balanced risk screening
0.8,0.19254783484390736,0.3721292331646555,0.2537828510751261,1613,4009,Balanced risk screening
0.85,0.10392749244712991,0.4387755102040816,0.16805080605764533,660,4449,Balanced risk screening
0.9,0.036656596173212486,0.5416666666666666,0.06866628937936238,154,4783,Balanced risk screening
