rank,feature,mean_abs_shap_value,mean_shap_value,transformed_feature_count,direction
1,EXT_SOURCE_MEAN,0.2116407565075406,-0.02260290958999166,1,decreases risk on average
2,CREDIT_TERM_RATIO,0.17276023581704686,0.0013203606707605615,1,increases risk on average
3,EXT_SOURCE_3,0.16203372245853875,0.001122235418983408,1,increases risk on average
4,CODE_GENDER,0.12425925694068644,0.006732659242674485,3,increases risk on average
5,EXT_SOURCE_MAX,0.12358265193692286,-0.0011587561949885597,1,decreases risk on average
6,GOODS_CREDIT_RATIO,0.1175003577063658,-0.009276498077705909,1,decreases risk on average
7,EXT_SOURCE_2,0.11186224334469573,-0.004986732565228226,1,decreases risk on average
8,NAME_EDUCATION_TYPE,0.11098104519960836,-0.0012884664556158986,5,decreases risk on average
9,AMT_ANNUITY,0.10500481493323789,0.00242472561800073,1,increases risk on average
10,AMT_GOODS_PRICE,0.09087843124232153,0.007851275367251026,1,increases risk on average
11,FLAG_OWN_CAR,0.09079951124368832,-0.0013877368589810288,2,decreases risk on average
12,ORGANIZATION_TYPE,0.08699497738996556,0.0011364713289820794,58,increases risk on average
13,EXT_SOURCE_1,0.08640327497035567,0.0007000545768920748,1,increases risk on average
14,EXT_SOURCE_MIN,0.08236292187726828,0.022829594706145585,1,increases risk on average
15,BUREAU_ACTIVE_DEBT_RATIO,0.08114169337874187,0.00013654964854848152,1,increases risk on average
16,BUREAU_SUM_AMT_CREDIT_SUM,0.07659909671054553,-0.005388492504281329,1,decreases risk on average
17,NAME_FAMILY_STATUS,0.06733226357275347,-0.003749414600831838,6,decreases risk on average
18,DAYS_ID_PUBLISH,0.0662185393659571,-0.0018465749808209472,1,decreases risk on average
19,BUREAU_ACTIVE_LOAN_COUNT,0.0639169686069074,0.002905777954378686,1,increases risk on average
20,DAYS_BIRTH,0.05213261748394076,0.012455434505668226,1,increases risk on average
21,ANNUITY_INCOME_RATIO,0.048469339802248206,-0.0023211206857367654,1,decreases risk on average
22,EMPLOYMENT_YEARS,0.046106561036869304,0.0006801494432452054,1,increases risk on average
23,AGE_YEARS,0.04514535356792945,-0.007609705330712726,1,decreases risk on average
24,DAYS_EMPLOYED_CLEAN,0.044842254896815884,-0.002476686372533904,1,decreases risk on average
25,REGION_RATING_CLIENT_W_CITY,0.04113447682487731,-0.001287911664787616,1,decreases risk on average
