threshold,recall,precision,f1,false_positives,false_negatives,business_label
0.1,0.9891238670694864,0.08763383297644539,0.1610031964593066,51129,54,Very aggressive screening
0.15,0.9713997985901309,0.09473766917440923,0.17263843648208468,46086,142,Very aggressive screening
0.2,0.9446122860020141,0.1037037037037037,0.18688981868898186,40535,275,Very aggressive screening
0.25,0.9089627391742195,0.11353173505069054,0.2018516861973343,35238,452,Very aggressive screening
0.3,0.8686807653575025,0.12520320483046912,0.21886179686905335,30135,652,Broad manual review queue
0.35,0.8217522658610272,0.13863875768799483,0.2372506832587079,25349,885,Broad manual review queue
0.4,0.762134944612286,0.15177890979102324,0.25314423334225317,21147,1181,Broad manual review queue
0.45,0.7033232628398791,0.1679411340354927,0.27113906359189377,17301,1473,Broad manual review queue
0.5,0.6400805639476335,0.18554413825315275,0.28769293441361515,13950,1787,Broad manual review queue
0.55,0.5740181268882175,0.205716760502382,0.3028853817949944,11004,2115,Broad manual review queue
0.6,0.49667673716012084,0.2275957544993078,0.3121518987341772,8369,2499,Balanced risk screening
0.65,0.4219536757301108,0.25539436791417774,0.3181956257594168,6108,2870,Balanced risk screening
0.7,0.34400805639476334,0.2907234042553192,0.3151291512915129,4167,3257,Balanced risk screening
0.75,0.2551863041289023,0.3255395683453237,0.2861013887320763,2625,3698,Balanced risk screening
0.8,0.16817724068479356,0.38461538461538464,0.23402466367713004,1336,4130,Balanced risk screening
0.85,0.09023162134944612,0.4609053497942387,0.15091797203975071,524,4517,Balanced risk screening
0.9,0.026183282980866064,0.5508474576271186,0.049990386464141515,106,4835,Balanced risk screening
